report_index,source_id,incident_type,incident_id,scenario_type,channel,language,district,actual_location,actual_urgency,timestamp
0,call_0234,flood,FLOOD_093,same_street_neighbors,voice,tamil,Ratnapura,Kuruwita,HIGH,2025-05-17T06:01:00+00:00
1,sms_0213,flood,NOISE_flood_462,noise,sms,sinhala,Colombo,Battaramulla,MEDIUM,2025-05-17T06:02:00+00:00
2,call_0244,flood,FLOOD_097,same_street_neighbors,voice,tamil,Kalutara,Beruwala,CRITICAL,2025-05-17T06:03:00+00:00
3,sms_0192,flood,FLOOD_096,same_street_neighbors,sms,romanized_sinhala,Kandy,Katugastota,CRITICAL,2025-05-17T06:08:00+00:00
4,call_0235,flood,FLOOD_093,same_street_neighbors,voice,romanized_sinhala,Ratnapura,Kuruwita,HIGH,2025-05-17T06:10:00+00:00
5,call_0031,flood,FLOOD_006,mass_report,voice,tamil,Kalutara,Panadura,CRITICAL,2025-05-17T06:11:00+00:00
6,call_0168,flood,FLOOD_060,cross_lingual_duplicate,voice,sinhala,Gampaha,Gampaha_Town,CRITICAL,2025-05-17T06:12:00+00:00
7,call_0243,flood,FLOOD_096,same_street_neighbors,voice,sinhala,Kandy,Katugastota,CRITICAL,2025-05-17T06:12:00+00:00
8,sms_0188,flood,FLOOD_093,same_street_neighbors,sms,romanized_tamil,Ratnapura,Kuruwita,HIGH,
9,call_0245,flood,FLOOD_097,same_street_neighbors,voice,romanized_sinhala,Kalutara,Beruwala,CRITICAL,2025-05-17T06:13:00+00:00
10,sms_0001,flood,FLOOD_001,mass_report,sms,romanized_tamil,Colombo,Kelaniya,CRITICAL,2025-05-17T06:14:00+00:00
11,call_0219,flood,FLOOD_088,victim_panic,voice,tamil,Gampaha,Ja-Ela,HIGH,2025-05-17T06:15:00+00:00
12,call_0001,flood,FLOOD_001,mass_report,voice,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:16:00+00:00
13,call_0220,flood,FLOOD_088,victim_panic,voice,tamil,Gampaha,Ja-Ela,HIGH,2025-05-17T06:16:00+00:00
14,sms_0011,flood,FLOOD_003,mass_report,sms,romanized_tamil,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T06:17:00+00:00
15,call_0135,flood,FLOOD_047,geographically_near,voice,tamil,Colombo,Kelaniya,CRITICAL,2025-05-17T06:17:00+00:00
16,sms_0208,flood,NOISE_flood_457,noise,sms,sinhala,Colombo,Kelaniya,LOW,2025-05-17T06:17:00+00:00
17,sms_0196,flood,FLOOD_097,same_street_neighbors,sms,romanized_sinhala,Kalutara,Beruwala,CRITICAL,
18,call_0032,flood,FLOOD_006,mass_report,voice,romanized_sinhala,Kalutara,Panadura,CRITICAL,2025-05-17T06:19:00+00:00
19,call_0033,flood,FLOOD_006,mass_report,voice,sinhala,Kalutara,Panadura,CRITICAL,2025-05-17T06:19:00+00:00
20,call_0043,flood,FLOOD_008,adjacent_critical,voice,romanized_tamil,Colombo,Wellampitiya,CRITICAL,2025-05-17T06:20:00+00:00
21,sms_0112,flood,FLOOD_046,long_gap,sms,tamil,Ratnapura,Balangoda,HIGH,2025-05-17T06:20:00+00:00
22,call_0221,flood,FLOOD_088,victim_panic,voice,sinhala,Gampaha,Ja-Ela,HIGH,2025-05-17T06:20:00+00:00
23,sms_0195,flood,FLOOD_097,same_street_neighbors,sms,romanized_tamil,Kalutara,Beruwala,CRITICAL,2025-05-17T06:20:00+00:00
24,sms_0012,flood,FLOOD_003,mass_report,sms,romanized_sinhala,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T06:21:00+00:00
25,call_0035,flood,FLOOD_006,mass_report,voice,tamil,Kalutara,Panadura,CRITICAL,2025-05-17T06:21:00+00:00
26,sms_0153,flood,FLOOD_065,cross_lingual_duplicate,sms,romanized_sinhala,Gampaha,Wattala,MEDIUM,
27,call_0057,flood,FLOOD_012,adjacent_critical,voice,sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T06:22:00+00:00
28,call_0236,flood,FLOOD_094,same_street_neighbors,voice,sinhala,Ratnapura,Kuruwita,CRITICAL,2025-05-17T06:22:00+00:00
29,sms_0002,flood,FLOOD_001,mass_report,sms,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:23:00+00:00
30,sms_0029,flood,FLOOD_006,mass_report,sms,romanized_sinhala,Kalutara,Panadura,CRITICAL,2025-05-17T06:23:00+00:00
31,sms_0230,flood,NOISE_flood_479,noise,sms,sinhala,Gampaha,Wattala,MEDIUM,2025-05-17T06:23:00+00:00
32,call_0137,flood,FLOOD_047,geographically_near,voice,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:24:00+00:00
33,sms_0130,flood,FLOOD_055,third_party,sms,romanized_sinhala,Gampaha,Ja-Ela,MEDIUM,2025-05-17T06:24:00+00:00
34,call_0003,flood,FLOOD_001,mass_report,voice,tamil,Colombo,Kelaniya,CRITICAL,2025-05-17T06:26:00+00:00
35,sms_0032,flood,FLOOD_008,adjacent_critical,sms,sinhala,Colombo,Wellampitiya,CRITICAL,2025-05-17T06:27:00+00:00
36,call_0133,flood,FLOOD_046,long_gap,voice,romanized_sinhala,Ratnapura,Balangoda,HIGH,2025-05-17T06:27:00+00:00
37,call_0138,flood,FLOOD_047,geographically_near,voice,tamil,Colombo,Kelaniya,CRITICAL,2025-05-17T06:28:00+00:00
38,call_0171,flood,FLOOD_060,cross_lingual_duplicate,voice,romanized_tamil,Gampaha,Gampaha_Town,CRITICAL,2025-05-17T06:28:00+00:00
39,call_0223,flood,FLOOD_089,same_street_neighbors,voice,tamil,Colombo,Hanwella,CRITICAL,2025-05-17T06:28:00+00:00
40,sms_0193,flood,FLOOD_096,same_street_neighbors,sms,tamil,Kandy,Katugastota,CRITICAL,
41,call_0016,flood,FLOOD_003,mass_report,voice,tamil,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T06:29:00+00:00
42,call_0225,flood,FLOOD_090,same_street_neighbors,voice,sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T06:29:00+00:00
43,sms_0113,flood,FLOOD_046,long_gap,sms,romanized_tamil,Ratnapura,Balangoda,HIGH,2025-05-17T06:30:00+00:00
44,call_0015,flood,FLOOD_003,mass_report,voice,romanized_sinhala,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T06:31:00+00:00
45,sms_0039,flood,FLOOD_011,adjacent_critical,sms,sinhala,Kandy,Katugastota,CRITICAL,2025-05-17T06:31:00+00:00
46,sms_0092,flood,FLOOD_040,noise,sms,sinhala,Colombo,Mattakkuliya,MEDIUM,2025-05-17T06:31:00+00:00
47,call_0226,flood,FLOOD_090,same_street_neighbors,voice,romanized_sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T06:31:00+00:00
48,call_0002,flood,FLOOD_001,mass_report,voice,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:32:00+00:00
49,call_0156,flood,FLOOD_055,third_party,voice,romanized_sinhala,Gampaha,Ja-Ela,MEDIUM,2025-05-17T06:32:00+00:00
50,sms_0132,flood,FLOOD_055,third_party,sms,romanized_sinhala,Gampaha,Ja-Ela,MEDIUM,2025-05-17T06:32:00+00:00
51,call_0229,flood,FLOOD_091,same_street_neighbors,voice,sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T06:32:00+00:00
52,sms_0189,flood,FLOOD_094,same_street_neighbors,sms,sinhala,Ratnapura,Kuruwita,CRITICAL,
53,sms_0194,flood,FLOOD_097,same_street_neighbors,sms,romanized_sinhala,Kalutara,Beruwala,CRITICAL,
54,sms_0013,flood,FLOOD_003,mass_report,sms,sinhala,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T06:33:00+00:00
55,sms_0017,flood,FLOOD_003,mass_report,sms,sinhala,Ratnapura,Ratnapura_City,CRITICAL,
56,call_0040,flood,FLOOD_007,adjacent_critical,voice,tamil,Colombo,Kolonnawa,CRITICAL,2025-05-17T06:33:00+00:00
57,call_0136,flood,FLOOD_047,geographically_near,voice,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:33:00+00:00
58,sms_0166,flood,FLOOD_072,location_unknown,sms,sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T06:33:00+00:00
59,call_0224,flood,FLOOD_089,same_street_neighbors,voice,romanized_tamil,Colombo,Hanwella,CRITICAL,2025-05-17T06:33:00+00:00
60,call_0237,flood,FLOOD_094,same_street_neighbors,voice,romanized_tamil,Ratnapura,Kuruwita,CRITICAL,2025-05-17T06:33:00+00:00
61,sms_0004,flood,FLOOD_001,mass_report,sms,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:34:00+00:00
62,sms_0005,flood,FLOOD_002,mass_report,sms,tamil,Colombo,Kaduwela,CRITICAL,
63,sms_0177,flood,FLOOD_081,victim_panic,sms,sinhala,Colombo,Hanwella,CRITICAL,
64,call_0227,flood,FLOOD_090,same_street_neighbors,voice,romanized_sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T06:35:00+00:00
65,sms_0034,flood,FLOOD_008,adjacent_critical,sms,sinhala,Colombo,Wellampitiya,CRITICAL,2025-05-17T06:37:00+00:00
